pair,total_pnl,sharpe,max_dd,num_trades,win_rate,avg_duration_h
BTCUSDT_WBTCUSDT,21219.96276,202.8995244,0,136,1,6.426470588
YFIUSDT_ALCXUSDT,60.02626469,46.53364896,6.214643356,68,0.852941176,26.75
YFIUSDT_DASHUSDT,23.34478015,41.49876792,3.129000249,65,0.8,29.29230769
KSMUSDT_DASHUSDT,14.76287002,28.87741102,2.596780315,62,0.725806452,33.03225806
COMPUSDT_FARMUSDT,65.65249211,20.60993686,20.69773114,57,0.824561404,29.28070175
FARMUSDT_DASHUSDT,57.55904774,19.6047565,18.05869875,60,0.766666667,29.81666667
EGLDUSDT_MOVRUSDT,21.32849529,15.53887883,8.899620923,58,0.775862069,33.12068966
COMPUSDT_DASHUSDT,14.39295691,15.00732804,11.12054755,71,0.746478873,28.15492958
YFIUSDT_FARMUSDT,46.1925286,15.00267967,22.53247651,56,0.732142857,35.58928571
FARMUSDT_ARUSDT,32.89585713,14.93621181,12.91104123,62,0.758064516,33.66129032
EGLDUSDT_FARMUSDT,43.8436734,14.86699935,22.75929764,60,0.766666667,30.48333333
FARMUSDT_ALCXUSDT,68.91345299,14.51144204,31.63717132,59,0.745762712,32.13559322
AAVEUSDT_MOVRUSDT,19.97762158,13.68859741,7.228813431,66,0.681818182,31.57575758
INJUSDT_MOVRUSDT,19.74780864,13.07601769,18.80739384,53,0.641509434,37.58490566
ZENUSDT_MOVRUSDT,13.71139662,12.60574224,9.26071797,59,0.745762712,32.45762712
ILVUSDT_MOVRUSDT,11.82984087,12.49799064,7.970818495,52,0.711538462,39.19230769
SOLUSDT_FARMUSDT,42.38324431,12.35238967,39.65962871,56,0.714285714,37.85714286
AVAXUSDT_FARMUSDT,34.66523283,12.25921975,24.95657426,61,0.704918033,35.08196721
INJUSDT_ALCXUSDT,13.41067448,7.971693016,11.71875974,59,0.644067797,34.72881356
YFIUSDT_ZENUSDT,4.14255696,7.684553205,3.871206291,62,0.725806452,29.22580645
EGLDUSDT_ILVUSDT,47.22569447,7.463136663,41.82671355,55,0.636363636,37.05454545
KSMUSDT_FARMUSDT,16.41846489,6.271822627,21.32135315,55,0.654545455,35.85454545
SOLUSDT_MOVRUSDT,9.76347589,6.176845448,10.18425759,60,0.716666667,36.68333333
KSMUSDT_ZENUSDT,1.423735117,3.652672218,2.915341435,59,0.745762712,32.69491525
BIFIUSDT_ALCXUSDT,2.845654012,3.357510963,9.431470459,56,0.625,38.67857143
GNOUSDT_FARMUSDT,10.63197643,3.091717562,35.98060684,50,0.7,44.44
AVAXUSDT_MOVRUSDT,-0.502680164,-0.175318699,18.2809232,58,0.603448276,41
LINKUSDT_ALCXUSDT,-3.015135299,-1.278407764,25.06098103,50,0.56,43.84
GNOUSDT_COMPUSDT,-17.74848662,-4.205548981,48.74893604,54,0.611111111,43.38888889
UNIUSDT_RAYUSDT,-1.784150675,-6.733093642,3.346910153,56,0.607142857,41.30357143
ENSUSDT_UNIUSDT,-4.21041661,-7.473056014,6.819820959,58,0.620689655,41.43103448
COMPUSDT_RAYUSDT,-1.182343239,-7.586979548,1.672902957,52,0.615384615,45.5
METISUSDT_SSVUSDT,-10.6279563,-9.326138455,22.31082824,27,0.592592593,48.03703704
EGLDUSDT_LPTUSDT,-11.73310426,-9.834819784,14.56423773,53,0.660377358,39.83018868
SOLUSDT_ALCXUSDT,-12.54965245,-9.924504455,17.72625682,52,0.538461538,45.94230769
ETHUSDT_MOVRUSDT,-38.02003016,-11.97107279,41.58254097,53,0.566037736,44.37735849
GNOUSDT_ALCXUSDT,-65.33453575,-16.37088614,73.98092299,47,0.595744681,49.85106383
YFIUSDT_TRUMPUSDT,,,,0,,
BANANAUSDT_TRUMPUSDT,,,,0,,
AVAXUSDT_TRUMPUSDT,,,,0,,
KSMUSDT_TRUMPUSDT,,,,0,,
FARMUSDT_TRUMPUSDT,,,,0,,
BIFIUSDT_TRUMPUSDT,,,,0,,
EGLDUSDT_TRUMPUSDT,,,,0,,
TRUMPUSDT_DASHUSDT,,,,0,,
GNOUSDT_TRUMPUSDT,,,,0,,
SOLUSDT_TRUMPUSDT,,,,0,,
METISUSDT_TRUMPUSDT,,,,0,,
BNSOLUSDT_TRUMPUSDT,,,,0,,
LPTUSDT_TRUMPUSDT,,,,0,,
