2025-06-14 00:43:29,720 - INFO - Selected 290 good tickers out of 401
2025-06-14 00:43:29,721 - INFO - Using volatility filter \u2192 keeping top 50 tickers
2025-06-14 00:43:30,876 - INFO - [correlation filter] 573 pairs passed correlation threshold (0.8)
2025-06-14 00:43:31,722 - INFO - Found cointegrated pair: BTCUSDT-WBTCUSDT, p-value=0.0000
2025-06-14 00:43:32,085 - INFO - Found cointegrated pair: BTCUSDT-TAOUSDT, p-value=0.0218
2025-06-14 00:43:38,886 - INFO - Found cointegrated pair: WBTCUSDT-TAOUSDT, p-value=0.0221
2025-06-14 00:43:39,776 - INFO - Found cointegrated pair: WBTCUSDT-AAVEUSDT, p-value=0.0440
2025-06-14 00:43:41,449 - INFO - Found cointegrated pair: WBTCUSDT-QNTUSDT, p-value=0.0424
2025-06-14 00:43:45,912 - INFO - Found cointegrated pair: YFIUSDT-BIFIUSDT, p-value=0.0002
2025-06-14 00:43:48,316 - INFO - Found cointegrated pair: YFIUSDT-AAVEUSDT, p-value=0.0475
2025-06-14 00:43:54,982 - INFO - Found cointegrated pair: YFIUSDT-COMPUSDT, p-value=0.0000
2025-06-14 00:43:57,332 - INFO - Found cointegrated pair: YFIUSDT-EGLDUSDT, p-value=0.0085
2025-06-14 00:43:59,460 - INFO - Found cointegrated pair: YFIUSDT-LPTUSDT, p-value=0.0010
2025-06-14 00:44:04,710 - INFO - Found cointegrated pair: YFIUSDT-KSMUSDT, p-value=0.0000
2025-06-14 00:44:06,663 - INFO - Found cointegrated pair: YFIUSDT-FARMUSDT, p-value=0.0000
2025-06-14 00:44:06,773 - INFO - Found cointegrated pair: YFIUSDT-TRUMPUSDT, p-value=0.0000
2025-06-14 00:44:09,195 - INFO - Found cointegrated pair: YFIUSDT-DASHUSDT, p-value=0.0000
2025-06-14 00:44:10,983 - INFO - Found cointegrated pair: YFIUSDT-ENSUSDT, p-value=0.0068
2025-06-14 00:44:13,261 - INFO - Found cointegrated pair: YFIUSDT-LINKUSDT, p-value=0.0094
2025-06-14 00:44:17,972 - INFO - Found cointegrated pair: YFIUSDT-ILVUSDT, p-value=0.0003
2025-06-14 00:44:20,351 - INFO - Found cointegrated pair: YFIUSDT-ETCUSDT, p-value=0.0000
2025-06-14 00:44:23,628 - INFO - Found cointegrated pair: YFIUSDT-ZENUSDT, p-value=0.0000
2025-06-14 00:44:26,915 - INFO - Found cointegrated pair: YFIUSDT-UNIUSDT, p-value=0.0001
2025-06-14 00:44:28,703 - INFO - Found cointegrated pair: YFIUSDT-MOVRUSDT, p-value=0.0000
2025-06-14 00:44:31,072 - INFO - Found cointegrated pair: YFIUSDT-NMRUSDT, p-value=0.0001
2025-06-14 00:44:33,258 - INFO - Found cointegrated pair: YFIUSDT-ARUSDT, p-value=0.0095
2025-06-14 00:44:35,007 - INFO - Found cointegrated pair: YFIUSDT-ALCXUSDT, p-value=0.0000
2025-06-14 00:44:37,163 - INFO - Found cointegrated pair: YFIUSDT-RAYUSDT, p-value=0.0035
2025-06-14 00:44:42,215 - INFO - Found cointegrated pair: WBETHUSDT-COMPUSDT, p-value=0.0025
2025-06-14 00:44:42,932 - INFO - Found cointegrated pair: WBETHUSDT-LPTUSDT, p-value=0.0008
2025-06-14 00:44:44,214 - INFO - Found cointegrated pair: WBETHUSDT-METISUSDT, p-value=0.0042
2025-06-14 00:44:49,570 - INFO - Found cointegrated pair: WBETHUSDT-ZENUSDT, p-value=0.0078
2025-06-14 00:44:50,974 - INFO - Found cointegrated pair: WBETHUSDT-UNIUSDT, p-value=0.0380
2025-06-14 00:44:58,633 - INFO - Found cointegrated pair: ETHUSDT-SOLUSDT, p-value=0.0401
2025-06-14 00:45:02,941 - INFO - Found cointegrated pair: ETHUSDT-TRBUSDT, p-value=0.0193
2025-06-14 00:45:11,507 - INFO - Found cointegrated pair: ETHUSDT-LPTUSDT, p-value=0.0018
2025-06-14 00:45:14,149 - INFO - Found cointegrated pair: ETHUSDT-AVAXUSDT, p-value=0.0488
2025-06-14 00:45:14,541 - INFO - Found cointegrated pair: ETHUSDT-METISUSDT, p-value=0.0026
2025-06-14 00:45:20,904 - INFO - Found cointegrated pair: ETHUSDT-ENSUSDT, p-value=0.0010
2025-06-14 00:45:28,331 - INFO - Found cointegrated pair: ETHUSDT-ETCUSDT, p-value=0.0026
2025-06-14 00:45:36,444 - INFO - Found cointegrated pair: ETHUSDT-MOVRUSDT, p-value=0.0000
2025-06-14 00:45:41,002 - INFO - Found cointegrated pair: ETHUSDT-ARUSDT, p-value=0.0058
2025-06-14 00:45:42,828 - INFO - Found cointegrated pair: ETHUSDT-ALCXUSDT, p-value=0.0000
